,Address,Price,Bed,Bath,SQFT,Description,latitude,longitude,Listing URL,Picture,Street,City,State,Zip Code
21,"9317 Bradner Dr, Austin, TX 78748","$2,700/mo",3 beds,2 baths,"2,086 sq ft",Ready for move in NOW.  This enclave of homes are very well built designer homes- Not your average cookie cutter houses. Single story 2018 build home on top of the hill in Covered Bridge Neighborhood.,30.1864667,-97.8380475,https://www.redfin.com/TX/Austin/9317-Bradner-Dr-78748/home/31794901,https://ssl.cdn-redfin.com/photo/rent/921cc3d9-1dc6-4a41-b11f-b0f247ed03f2/islphoto/genIsl.0_1.jpg,9317 Bradner Dr, Austin,TX,78748
22,"8501 Moccasin Path, Austin, TX 78736","$3,200/mo",4 beds,3 baths,"2,360 sq ft","Don't miss this opportunity to lease a well-maintained home in Park East! Located in a prime lot away from main traffic, this home offers 3 bedrooms and 2.5 baths. Enjoy abundant natural light, high c",30.24273,-97.89508,https://www.redfin.com/TX/Austin/8501-Moccasin-Path-78736/home/109917047,https://ssl.cdn-redfin.com/photo/rent/921cc3d9-1dc6-4a41-b11f-b0f247ed03f2/islphoto/genIsl.1_1.jpg,8501 Moccasin Path, Austin,TX,78736
23,"1511 Arcilla St, Austin, TX 78741","$3,200/mo",3 beds,2.5 baths,"1,978 sq ft","quiet Great hills neighborhood, easy access and egress. <BR><BR>Almost mandatory that you have a dog.  A wonderful neighborhood, cul-de-sac and zero outside traffic, 2 story, grandmother suite upstair",30.2258837,-97.6952361,https://www.redfin.com/TX/Austin/1511-Arcilla-St-78741/home/109917502,https://ssl.cdn-redfin.com/photo/rent/921cc3d9-1dc6-4a41-b11f-b0f247ed03f2/islphoto/genIsl.4_1.jpg,1511 Arcilla St, Austin,TX,78741
24,"9309 Knoll Crest Loop, Austin, TX 78759","$4,200/mo",3 beds,3 baths,"3,000 sq ft","Contemporary design, garage apartment off quiet alley.  Off-street parking.  Studio with Murphy bed, lots of storage, central AC, dishwasher, full bathroom, private washer/dryer, plenty of storage.   ",30.39436,-97.7607723,https://www.redfin.com/TX/Austin/9309-Knoll-Crest-Loop-78759/home/31311935,https://ssl.cdn-redfin.com/photo/rent/5ae7bf5e-c4e9-4e9d-b224-2c1b7af29033/islphoto/genIsl.0_1.jpg,9309 Knoll Crest Loop, Austin,TX,78759
25,"1208 E 2nd St, Austin, TX 78702","$2,200/mo",0 beds,1 bath,575 sq ft,"#325 & #326 available. Contemporary condo with bright, open living space, large bedroom with walk-in closet and bath with double vanity. Huge covered balcony has expansive view. Stacking washer/dryer ",30.2607708,-97.7314067,https://www.redfin.com/TX/Austin/1208-E-2nd-St-78702/home/31368181,https://ssl.cdn-redfin.com/photo/rent/5ae7bf5e-c4e9-4e9d-b224-2c1b7af29033/islphoto/genIsl.1_1.jpg,1208 E 2nd St, Austin,TX,78702
26,"4361 S Congress Ave, Austin, TX 78745","$1,750/mo",1 bed,1 bath,750 sq ft,Masterfully designed 2/2.5 2022 build in the heart of East Austin! Open lots with private backyards! Large windows and high ceiling allow for plenty of natural light throughout! Silestone countertops ,30.2177976,-97.7667556,https://www.redfin.com/TX/Austin/4361-S-Congress-Ave-78745/home/179698604,https://ssl.cdn-redfin.com/photo/rent/5ae7bf5e-c4e9-4e9d-b224-2c1b7af29033/islphoto/genIsl.29_1.jpg,4361 S Congress Ave, Austin,TX,78745
27,"1118 Walton Ln Unit 2, Austin, TX 78721","$2,495/mo",2 beds,2.5 baths,876 sq ft,"Welcome to 13901 Osmarea Dr, a stunning residence conveniently located in north Austin. This beautiful home offers a perfect blend of contemporary style and comfortable living, making it an ideal sanc",30.259114,-97.688209,https://www.redfin.com/TX/Austin/1118-Walton-Ln-78721/unit-2/home/183135917,https://ssl.cdn-redfin.com/photo/rent/5b6fd114-1e84-4047-b40b-41cf3004e40f/islphoto/genIsl.0_1.jpg,1118 Walton Ln Unit 2, Austin,TX,78721
28,"13901 Osmarea Dr, Austin, TX 78717","$2,595/mo",4 beds,2 baths,"1,926 sq ft","Unbelievable location in the Heart of Austin!! Within walking distance to Festival Beach, Lady Bird Lake Hike/Bike Trail, Martin Neighborhood Pool/Park, Rainey District, East Area Entertainment Distri",30.4771416,-97.7694395,https://www.redfin.com/TX/Austin/13901-Osmarea-Dr-78717/home/191038277,https://ssl.cdn-redfin.com/photo/rent/5b6fd114-1e84-4047-b40b-41cf3004e40f/islphoto/genIsl.1_1.jpg,13901 Osmarea Dr, Austin,TX,78717
29,"2107 Haskell St, Austin, TX 78702","$2,600/mo",3 beds,1 bath,"1,244 sq ft","Welcome to 1813 Maize Bend Drive, a 2419-square-foot, 4-bedroom, 2.5-bathroom home with a well-landscaped yard, elegant stone accent veneers, and a neatly paved driveway with an attached garage. Locat",30.2512836,-97.7236152,https://www.redfin.com/TX/Austin/2107-Haskell-St-78702/home/31359740,https://ssl.cdn-redfin.com/photo/rent/5b6fd114-1e84-4047-b40b-41cf3004e40f/islphoto/genIsl.39_1.jpg,2107 Haskell St, Austin,TX,78702
30,"1813 Maize Bend Dr, Austin, TX 78727","$2,745/mo",4 beds,2 baths,"2,419 sq ft","Settling in Austin due to insurance relocation or as a long-term contract worker? Our pet-friendly monthly rental eases your stay. With a dedicated work station, high-speed ATT fiber-optic Wi-Fi, and ",30.4279341,-97.680941,https://www.redfin.com/TX/Austin/1813-Maize-Bend-Dr-78727/home/31936916,https://ssl.cdn-redfin.com/photo/rent/b3f67543-4c98-443d-b109-0f6d430939e1/islphoto/genIsl.0_1.jpg,1813 Maize Bend Dr, Austin,TX,78727
